ACheeseForAMouse;ليس لدي شك في أن أخي ترك هذا الجبن هنا، دائما مثل ذلك!
AKeyToTheCabinet;مفتاح من غرفة الأب
AKitchenKey;مفتاح المطبخ
APartOfAHammer;مقبض المطرقة!
APartOfScissors;نصف مقص
AStickForTheRoof;يجب أن يساعدني
Bathroom;بالتأكيد أنا أحب أن يغسل نفسي!
BatteriesForTheController;شيء مفيد هنا
Continue;لاستكمال
DontRemind;ابدا
Exit;ىخرج
Figure;هذا هو بلدي كتلة وحدة!
GottaCrashThisIce;الحصول على هذا المفتاح للخروج من مكعب الجليد
GottaDisassembleIt;دعونا اللعب وتفكيك ذلك!
GottaTightenTheCrane;يجب تدويرها؟ اعتقد نعم!
Hmm;هم ...
ICanExtinguish;هذا هو دلو من الماء، مفيدة!
ICountSoBad;ذلك مثير للاهتمام...
IGottaPutOut;لا بد لي من اخماد هذه النار
IHaveToTurnItOn;اريد مشاهدة الكرتون
InventoryIsFull;لا مكان!
ISeeTheToilet;هناك بابين، يجب أن أتذكر ذلك
ItCanBeOpen;يمكن فتحه
ItIsEmpty;لا اهتمام…
ItIsSoHighInHere;هنا عالية جدا، نجاح باهر
ItIsWarmInHere;انها دافئة جدا هنا
Kitchen;المطبخ، وهنا هو عليه. مكاني المفضل!
Loading;جار التحميل...
LowerFloor;الطابق الأول
MyBeautifulRoom;غرفتي الجميلة!
MyBrothersSkate;هذا هو تزلج لدينا
MyToy;أنا أحب بلدي الشكل فارز لعبة!
NeedAKey;أنا بحاجة لفتح هذا الشيء الغريب
No;لا
OK;حسنا
OneMoreBathroom;حمامات رائعة
OneMorePartOfAHammer;جزء معدني من المطرقة
ParentsBedroom;أمي وأبي غرفة نوم
RateUs;إذا كنت تحب اللعبة، يرجى تقيم لنا لمدة 5 نجوم. شكرا لكم!
RewardText;هل ترغب في الحصول على تلميح من خلال مشاهدة الفيديو مثيرة للاهتمام؟
RewardWaitText;لم يتم تحميل الفيديو حتى الآن، حاول في وقت لاحق والتحقق من اتصال الإنترنت الخاص بك
SomethingTasty;شيء لذيذ!
TheBucketIsEmpty;الدلو فارغ
TheClockShowsTheWrongTime;هذه الساعة يظهر الوقت الخطأ
TheDollWasCollected;تم تجميع دمية بلدي!
TheDoorsMayBeOpen;يجب فتح هذا الباب!
ThereIsALot;هناك الكثير من الاشياء ...
ThereIsNothingHere;تنظيف أسنانك مرتين في اليوم!
ThereIsSomethingHidden;وسائد لطيفة؛)
ThereIsSomethingInTheTank;صمامات مثيرة للاهتمام في هناك
TheseFigures;دعونا لعب في ذلك!
ThisMouse;سوف بلدي الحبيب الماوس مساعدتي
TiltThePhone;إمالة الهاتف
WhatIsInHere;ما هذا؟
WhenMyBrother;عندما عاد أخي من المدرسة، فوجئ
Yahoo;أنا هنا!
Yes;نعم فعلا
