ACheeseForAMouse;毫無疑問，我的妹妹在這裡離開了這個奶酪。
AKeyToTheCabinet;父親的房間鑰匙
AKitchenKey;在廚房裡的鑰匙
APartOfAHammer;錘柄？
APartOfScissors;一半的剪刀
AStickForTheRoof;它會幫助我。
Bathroom;當然，那是我的浴缸。
BatteriesForTheController;有用的是在這裡。
Continue;繼續
DontRemind;從來沒有
Exit;出口
Figure;這是我的單位塊！
GottaCrashThisIce;把這個鑰匙從冰裡拿出來。
GottaDisassembleIt;讓我們玩它，並拆卸它！
GottaTightenTheCrane;我應該旋轉它嗎？聽起來沒錯！
Hmm;呃...
ICanExtinguish;這是一個有用的桶！
ICountSoBad;這很有趣...
IGottaPutOut;我必須關掉這場火災。
IHaveToTurnItOn;我想看漫畫。
InventoryIsFull;沒有地方！
ISeeTheToilet;有兩扇門，我必須記住它。
ItCanBeOpen;可以打開。
ItIsEmpty;這不是有趣的...
ItIsSoHighInHere;這裡太高了。
ItIsWarmInHere;這裡非常溫暖。
Kitchen;廚房，在這裡。我最喜歡的地方！
Loading;載入中...
LowerFloor;一樓
MyBeautifulRoom;我美麗的房間！
MyBrothersSkate;我的兄弟滑冰
MyToy;我喜歡形狀分類器！
NeedAKey;我必須打開這個奇怪的東西。
No;沒有
OK;承認
OneMoreBathroom;這是我們的客人的浴室。
OneMorePartOfAHammer;錘子的金屬部分
ParentsBedroom;媽媽和爸爸的臥室
RateUs;如果你喜歡這個遊戲，請評價5顆星。謝謝！
RewardText;你想從一個有趣的視頻得到一些提示嗎？
RewardWaitText;該視頻尚未加載，請稍後再試，並檢查您的互聯網連接。
SomethingTasty;超值服務！
TheBucketIsEmpty;桶是空的。
TheClockShowsTheWrongTime;這只表顯示錯誤的時間。
TheDollWasCollected;我的玩偶組裝好了！
TheDoorsMayBeOpen;我必須打開這扇門！
ThereIsALot;有很多事情...
ThereIsNothingHere;每天清潔你的牙齒兩次！
ThereIsSomethingHidden;"涼爽的枕頭;）"
ThereIsSomethingInTheTank;有一些有趣的閥門。
TheseFigures;讓我們把它！
ThisMouse;我心愛的老鼠會幫助我的。
TiltThePhone;傾斜手機
WhatIsInHere;這是什麼？
WhenMyBrother;當他的弟弟從學校回來時，他感到驚訝。
Yahoo;雅虎，我在這裡！
Yes;例子
