ACheeseForAMouse;אין לי ספק שאחי עזב את הגבינה כאן, תמיד ככה!
AKeyToTheCabinet;מפתח מהחדר של אבא
AKitchenKey;מפתח המטבח
APartOfAHammer;ידית האמר!
APartOfScissors;חצי מספריים
AStickForTheRoof;זה אמור לעזור לי
Bathroom;בטח שאני אוהב לשטוף את עצמי!
BatteriesForTheController;משהו מועיל כאן
Continue;להמשיך
DontRemind;לעולם לא
Exit;יְצִיאָה
Figure;זה בלוק היחידה שלי!
GottaCrashThisIce;קבל מפתח זה מתוך הקוביה קרח
GottaDisassembleIt;בואו לשחק ולפרק אותו!
GottaTightenTheCrane;אני צריך לסובב אותם? אני חושב שכן!
Hmm;הממ ...
ICanExtinguish;זה דלי של מים, שימושי!
ICountSoBad;זה מעניין...
IGottaPutOut;אני צריך לכבות את האש הזאת
IHaveToTurnItOn;אני רוצה לראות קריקטורה
InventoryIsFull;אין מקום!
ISeeTheToilet;יש שתי דלתות, אני צריך לזכור את זה
ItCanBeOpen;זה יכול להיפתח
ItIsEmpty;לא מעניין…
ItIsSoHighInHere;הנה כל כך גבוה, וואו
ItIsWarmInHere;כאן חם מאוד
Kitchen;מטבח, הנה זה. המקום האהוב עלי!
Loading;טוען...
LowerFloor;קומה ראשונה
MyBeautifulRoom;החדר היפה שלי!
MyBrothersSkate;זה החלקה שלנו
MyToy;אני אוהב את הצעצוע שלי סדרן הצורה!
NeedAKey;אני צריך לפתוח את הדבר המוזר הזה
No;לא
OK;בסדר
OneMoreBathroom;חדר אמבטיה נחמד לאורחים
OneMorePartOfAHammer;חלק מתכת של הפטיש
ParentsBedroom;חדר השינה של אמא ואבא
RateUs;אם אתה אוהב את המשחק, אנא דרג אותנו עבור 5 כוכבים. תודה!
RewardText;האם תרצה לקבל רמז על ידי צפייה בסרטון מעניין?
RewardWaitText;הסרטון עדיין לא נטען, נסה מאוחר יותר ובדוק את חיבור האינטרנט שלך
SomethingTasty;משהו טעים!
TheBucketIsEmpty;הדלי ריק
TheClockShowsTheWrongTime;השעון הזה מציג את הזמן הלא נכון
TheDollWasCollected;בובה שלי היה התאספו!
TheDoorsMayBeOpen;אני צריך לפתוח את הדלת!
ThereIsALot;יש הרבה דברים ...
ThereIsNothingHere;לנקות את השיניים פעמיים ביום!
ThereIsSomethingHidden;"כריות נחמד;)"
ThereIsSomethingInTheTank;שסתומים מעניינים שם למעלה
TheseFigures;ללא שם: בואו לשחק בו!
ThisMouse;העכבר האהוב שלי יעזור לי
TiltThePhone;הטו את הטלפון
WhatIsInHere;מה זה?
WhenMyBrother;כשאחי חזר מבית הספר, הוא הופתע
Yahoo;אני כאן!
Yes;כן
