ACheeseForAMouse;私は弟がこのチーズをここに残していたことは間違いない、いつものように！
AKeyToTheCabinet;父の部屋からの鍵
AKitchenKey;キッチンからのキー
APartOfAHammer;ハンマーハンドル？
APartOfScissors;はさみの半分
AStickForTheRoof;それは私を助けるだろう
Bathroom;確かに、それは私の浴槽です
BatteriesForTheController;役に立つもの
Continue;続ける
DontRemind;今までにない
Exit;出口
Figure;それは私の単位ブロックです！
GottaCrashThisIce;この鍵を氷の外に出す
GottaDisassembleIt;それを再生し、解体しよう！
GottaTightenTheCrane;私はそれらを回転する必要がありますか？私はイエスと思う！
Hmm;うーん...
ICanExtinguish;これは、水のバケツ、便利です！
ICountSoBad;それは面白い...
IGottaPutOut;私はこの火を出さなければならない
IHaveToTurnItOn;私は漫画を見たい
InventoryIsFull;場所が無い！
ISeeTheToilet;2つのドアがある、私はそれを覚えておく必要があります
ItCanBeOpen;それは開くことができます
ItIsEmpty;面白くない…
ItIsSoHighInHere;ここはとても高く、うわーです
ItIsWarmInHere;ここはとても暖かいです
Kitchen;キッチン、ここにあります。私のお気に入りの場所！
Loading;読み込んでいます...
LowerFloor;1階
MyBeautifulRoom;私の美しい部屋！
MyBrothersSkate;私の弟のスケート
MyToy;私は私のシェイプソーターが大好き！
NeedAKey;私はこの奇妙なことを開く必要があります
No;いいえ
OK;[OK]
OneMoreBathroom;それは私たちのゲストバスルームです
OneMorePartOfAHammer;ハンマーの金属部分
ParentsBedroom;ママとパパの寝室
RateUs;あなたがゲームを好きなら、5つ星のために私たちを評価してください。ありがとうございました！
RewardText;興味深いビデオを見てヒントを得たいですか？
RewardWaitText;動画はまだ読み込まれていません。後で試してみて、インターネット接続を確認してください
SomethingTasty;何かおいしい！
TheBucketIsEmpty;バケツが空です
TheClockShowsTheWrongTime;この時計は間違った時間を示しています
TheDollWasCollected;私の人形が集まった！
TheDoorsMayBeOpen;私はこのドアを開けるべきだ！
ThereIsALot;たくさんのものがあります...
ThereIsNothingHere;あなたの歯を1日2回きれいにしてください！
ThereIsSomethingHidden;"ニースの枕;）"
ThereIsSomethingInTheTank;面白い弁がそこにある
TheseFigures;それを入れましょう！
ThisMouse;私の最愛のマウスが私を助けます
TiltThePhone;電話を傾ける
WhatIsInHere;それは何ですか？
WhenMyBrother;私の兄弟が学校から帰ってきたら、彼は驚いた
Yahoo;ヤフー、私はここにいる！
Yes;はい
