ACheeseForAMouse;Jeg har ingen tvil om at broren min forlot denne osten her, alltid slik!
AKeyToTheCabinet;Nøkkel fra fars rom
AKitchenKey;
APartOfAHammer;
APartOfScissors;Halvparten av saks
AStickForTheRoof;Det skal hjelpe meg
Bathroom;Sikkert jeg elsker å vaske meg selv!
BatteriesForTheController;Noe nyttig her
Continue;Å fortsette
DontRemind;Aldri noen sinne
Exit;Exit
Figure;Det er min blokk!
GottaCrashThisIce;
GottaDisassembleIt;La oss spille og demontere det!
GottaTightenTheCrane;Skal jeg rotere dem? Jeg tror ja!
Hmm;Hmm ...
ICanExtinguish;Dette er en bøtte med vann, nyttig!
ICountSoBad;Det er interessant...
IGottaPutOut;Jeg må sette ut denne brannen
IHaveToTurnItOn;Jeg vil se tegneserie
InventoryIsFull;Ingen steder!
ISeeTheToilet;Det er to dører, jeg burde huske det
ItCanBeOpen;Det kan åpnes
ItIsEmpty;Ikke interessant…
ItIsSoHighInHere;Her er så høy, wow
ItIsWarmInHere;Det er veldig varmt her
Kitchen;Kjøkken, her er det. Min favorittplass!
Loading;Laster ...
LowerFloor;Første etasje
MyBeautifulRoom;Mitt vakre rom!
MyBrothersSkate;
MyToy;Jeg elsker min sorteer leketøy!
NeedAKey;Jeg må åpne denne rare tingen
No;Nei
OK;OK
OneMoreBathroom;Hyggelig bad for gjester
OneMorePartOfAHammer;Metalldel av hammeren
ParentsBedroom;Mors og pappas soverom
RateUs;Hvis du likte spillet, vær så snill å rangere oss for 5 stjerner. Takk skal du ha!
RewardText;Vil du ha et hint ved å se interessant video?
RewardWaitText;Videoen er ikke lastet ennå, prøv senere og kontroller Internett-tilkoblingen din
SomethingTasty;Noe velsmakende!
TheBucketIsEmpty;Bøttaen er tom
TheClockShowsTheWrongTime;Denne klokken viser feil tid
TheDollWasCollected;Min dukke ble samlet!
TheDoorsMayBeOpen;Jeg burde åpne denne døren!
ThereIsALot;Det er mange ting ...
ThereIsNothingHere;Rengjør tennene to ganger om dagen!
ThereIsSomethingHidden;"Fine puter;)"
ThereIsSomethingInTheTank;Interessante ventiler opp der
TheseFigures;La oss spille i det!
ThisMouse;Min elskede mus vil hjelpe meg
TiltThePhone;Kant telefonen
WhatIsInHere;Hva er det?
WhenMyBrother;Da min bror kom tilbake fra skolen, ble han overrasket
Yahoo;Jeg er her!
Yes;Ja
