ACheeseForAMouse;Nie mam wątpliwości, że mój brat zostawił tutaj ten ser, zawsze taki!
AKeyToTheCabinet;Klucz z pokoju ojca
AKitchenKey;Kuchenny klucz
APartOfAHammer;
APartOfScissors;Połowa nożyczek
AStickForTheRoof;To powinno mi pomóc
Bathroom;
BatteriesForTheController;Coś przydatnego tutaj
Continue;Kontynuować
DontRemind;Nigdy
Exit;Wyjście
Figure;
GottaCrashThisIce;Zdejmij ten klucz z kostki lodu
GottaDisassembleIt;Zagrajmy to i rozmontujmy!
GottaTightenTheCrane;Czy powinienem je obrócić? Myślę, że tak!
Hmm;Hmm ...
ICanExtinguish;To jest wiadro wody, przydatne!
ICountSoBad;To interesujące...
IGottaPutOut;Muszę zgasić ten ogień
IHaveToTurnItOn;Chcę oglądać kreskówki
InventoryIsFull;Nie ma miejsca!
ISeeTheToilet;Jest dwoje drzwi, powinienem o tym pamiętać
ItCanBeOpen;Można go otworzyć
ItIsEmpty;Nieinteresujące…
ItIsSoHighInHere;Tu jest tak wysoko, wow
ItIsWarmInHere;Jest tu bardzo ciepło
Kitchen;Kuchnia, oto jest. Moje ulubione miejsce!
Loading;Ładuję...
LowerFloor;Pierwsze piętro
MyBeautifulRoom;Mój piękny pokój!
MyBrothersSkate;
MyToy;Uwielbiam moją zabawkę do sortowania kształtów!
NeedAKey;Muszę otworzyć tę dziwną rzecz
No;Nie
OK;ok
OneMoreBathroom;Ładna łazienka dla gości
OneMorePartOfAHammer;Metalowa część młotka
ParentsBedroom;Sypialnia mamy i taty
RateUs;Jeśli spodobała Ci się gra, oceń nas na 5 gwiazdek. Dziękuję Ci!
RewardText;Czy chcesz uzyskać podpowiedź, oglądając interesujące wideo?
RewardWaitText;Film nie został jeszcze załadowany, spróbuj później i sprawdź połączenie internetowe
SomethingTasty;Coś smacznego!
TheBucketIsEmpty;Wiadro jest puste
TheClockShowsTheWrongTime;Ten zegar pokazuje zły czas
TheDollWasCollected;Moja lalka została złożona!
TheDoorsMayBeOpen;Powinienem otworzyć te drzwi!
ThereIsALot;Jest dużo rzeczy ...
ThereIsNothingHere;Czyść zęby dwa razy dziennie!
ThereIsSomethingHidden;"Ładne poduszki;)"
ThereIsSomethingInTheTank;Interesujące zawory tam
TheseFigures;
ThisMouse;Moja ukochana mysz mi pomoże
TiltThePhone;Przechyl telefon
WhatIsInHere;Co to jest?
WhenMyBrother;Kiedy mój brat wrócił ze szkoły, był zaskoczony
Yahoo;Jestem tutaj!
Yes;Tak
