ACheeseForAMouse;Não tenho dúvidas de que meu irmão deixou este queijo aqui, sempre assim!
AKeyToTheCabinet;Chave da sala de estudo
AKitchenKey;Chave de cozinha
APartOfAHammer;A vara ou a alça do martelo?
APartOfScissors;Metade das tesouras
AStickForTheRoof;Isso me ajudará a entrar no sótão
Bathroom;Claro, eu lavo no banheiro pela tarde!
BatteriesForTheController;Alguma coisa útil aqui
Continue;Continuar
DontRemind;Nunca
Exit;Saída
Figure;Esse é o bloco da minha unidade!
GottaCrashThisIce;Pegue a chave desse gelo
GottaDisassembleIt;Vamos jogar e desmontar!
GottaTightenTheCrane;Devo girá-los? Acho que sim!
Hmm;Hmm ...
ICanExtinguish;Este é um balde de água, útil!
ICountSoBad;Isso é interessante...
IGottaPutOut;Eu tenho que apagar este fogo
IHaveToTurnItOn;Eu quero ver desenhos animados
InventoryIsFull;Meu inventário está cheio
ISeeTheToilet;Há duas portas, você deve se lembrar
ItCanBeOpen;Pode ser aberto
ItIsEmpty;Não é interessante ...
ItIsSoHighInHere;Aqui tão alto, uau
ItIsWarmInHere;Faz muito calor aqui
Kitchen;Cozinha, aqui está. Meu lugar favorito!
Loading;Carregando ...
LowerFloor;Planta baixa
MyBeautifulRoom;Meu lindo quarto!
MyBrothersSkate;O skate do meu irmão
MyToy;Eu amo meu classificador de formas!
NeedAKey;Você precisa de uma chave para este bloqueio
No;Não
OK;OK
OneMoreBathroom;Esse é o banheiro do nosso convidado
OneMorePartOfAHammer;Parte metálica do martelo
ParentsBedroom;O quarto da mãe e do pai
RateUs;Se você gostou do jogo, avalie-nos para 5 estrelas. Obrigado!
RewardText;Gostaria de obter uma pista, assistindo a um vídeo interessante?
RewardWaitText;O vídeo ainda não está carregado, tente mais tarde e verifique sua conexão com a Internet
SomethingTasty;Algo saboroso!
TheBucketIsEmpty;O balde está vazio
TheClockShowsTheWrongTime;Este relógio mostra a hora errada
TheDollWasCollected;Minha boneca foi coletada!
TheDoorsMayBeOpen;Eu deveria abrir esta porta!
ThereIsALot;Tem muitas coisas ...
ThereIsNothingHere;Escove os dentes duas vezes ao dia!
ThereIsSomethingHidden;"Nice travesseiros;)"
ThereIsSomethingInTheTank;Há algo interessante aqui
TheseFigures;Vamos colocar blocos de unidades!
ThisMouse;Meu amado mouse me ajudará
TiltThePhone;Incline o telefone
WhatIsInHere;O que é isso?
WhenMyBrother;Quando meu irmão voltou da escola, ele ficou surpreso
Yahoo;Oba, estou fora!
Yes;Sim
