ACheeseForAMouse;Jag har ingen tvekan om att min bror lämnade denna ost här, alltid så!
AKeyToTheCabinet;Nyckeln från fars rum
AKitchenKey;Köksnyckeln
APartOfAHammer;
APartOfScissors;Halva saxen
AStickForTheRoof;Det borde hjälpa mig
Bathroom;Visst jag älskar att tvätta mig själv!
BatteriesForTheController;Något som är användbart här
Continue;Att fortsätta
DontRemind;Aldrig någonsin
Exit;Utgång
Figure;
GottaCrashThisIce;Ta den här nyckeln ur iskuben
GottaDisassembleIt;Låt oss spela och demontera det!
GottaTightenTheCrane;Ska jag rotera dem? Ja tror jag!
Hmm;Hmm ...
ICanExtinguish;Det här är en hink med vatten, användbart!
ICountSoBad;Det är intressant...
IGottaPutOut;Jag måste sätta ut denna eld
IHaveToTurnItOn;Jag vill titta på tecknade film
InventoryIsFull;Ingen plats!
ISeeTheToilet;Det finns två dörrar, jag borde komma ihåg det
ItCanBeOpen;Det kan öppnas
ItIsEmpty;Inte intressant…
ItIsSoHighInHere;Här är så hög, wow
ItIsWarmInHere;Det är väldigt varmt här
Kitchen;Kök, här är det. Mitt favoritställe!
Loading;Läser in...
LowerFloor;Första våningen
MyBeautifulRoom;Mitt vackra rum!
MyBrothersSkate;
MyToy;Jag älskar min form sorterare leksak!
NeedAKey;Jag måste öppna denna konstiga sak
No;Nej
OK;ok
OneMoreBathroom;Trevligt badrum för gästerna
OneMorePartOfAHammer;Metalldel av hammaren
ParentsBedroom;Mamma och pappas sovrum
RateUs;Om du gillade spelet, snälla betygsätt oss för 5 stjärnor. Tack!
RewardText;Vill du få en ledtråd genom att titta på intressant video?
RewardWaitText;Videon är inte laddad ännu, försök senare och kontrollera din internetanslutning
SomethingTasty;Något gott!
TheBucketIsEmpty;Skopan är tom
TheClockShowsTheWrongTime;Denna klocka visar fel tid
TheDollWasCollected;Min docka var monterad!
TheDoorsMayBeOpen;Jag borde öppna den här dörren!
ThereIsALot;Det finns många saker ...
ThereIsNothingHere;Rengör dina tänder två gånger om dagen!
ThereIsSomethingHidden;Fina kuddar)
ThereIsSomethingInTheTank;Intressanta ventiler där uppe
TheseFigures;Låt oss spela i det!
ThisMouse;Min älskade mus hjälper mig
TiltThePhone;Kantla telefonen
WhatIsInHere;Vad är det?
WhenMyBrother;När min bror kom tillbaka från skolan blev han överraskad
Yahoo;Jag är här!
Yes;Ja
