ACheeseForAMouse;ฉันไม่สงสัยเลยว่าพี่ชายของฉันออกจากชีสที่นี่เสมอเช่นนั้น!
AKeyToTheCabinet;คีย์จากห้องของพ่อ
AKitchenKey;กุญแจห้องครัว
APartOfAHammer;
APartOfScissors;กรรไกรครึ่งหนึ่ง
AStickForTheRoof;ควรช่วยฉัน
Bathroom;แน่ใจว่าฉันรักที่จะล้างตัวเอง!
BatteriesForTheController;มีประโยชน์บางอย่างที่นี่
Continue;ดำเนินการต่อไป
DontRemind;ไม่เลย
Exit;ทางออก
Figure;นั่นคือหน่วยของฉัน!
GottaCrashThisIce;เอากุญแจนี้ออกจากก้อนน้ำแข็ง
GottaDisassembleIt;Let 's เล่นและถอดมัน!
GottaTightenTheCrane;ฉันควรจะหมุนพวกเขา? ฉันคิดว่าใช่!
Hmm;อืม ...
ICanExtinguish;นี่คือถังน้ำที่มีประโยชน์!
ICountSoBad;นั่นดูน่าสนใจ...
IGottaPutOut;ฉันต้องดับไฟนี้
IHaveToTurnItOn;ฉันอยากดูการ์ตูน
InventoryIsFull;ไม่มีสถานที่!
ISeeTheToilet;มีประตูสองประตูฉันควรจำไว้
ItCanBeOpen;สามารถเปิดได้
ItIsEmpty;ไม่น่าสนใจ…
ItIsSoHighInHere;นี่สูงมากว้าว
ItIsWarmInHere;อบอุ่นมากที่นี่
Kitchen;ห้องครัวนี่เป็น สถานที่ที่ฉันชอบ!
Loading;กำลังโหลด ...
LowerFloor;
MyBeautifulRoom;ห้องสวยของฉัน!
MyBrothersSkate;
MyToy;ฉันรักตัวเรียงลำดับรูปร่างของฉัน!
NeedAKey;
No;ไม่
OK;OK
OneMoreBathroom;ห้องน้ำสวยสำหรับแขก
OneMorePartOfAHammer;ส่วนโลหะของค้อน
ParentsBedroom;ห้องนอน
RateUs;ถ้าคุณชอบเกมโปรดให้คะแนนเราสำหรับ 5 ดาว ขอขอบคุณ!
RewardText;คุณต้องการรับคำแนะนำโดยดูวิดีโอที่น่าสนใจไหม
RewardWaitText;ยังไม่ได้โหลดวิดีโอให้ลองภายหลังและตรวจสอบการเชื่อมต่ออินเทอร์เน็ตของคุณ
SomethingTasty;บางสิ่งบางอย่างอร่อย!
TheBucketIsEmpty;ถังว่างเปล่า
TheClockShowsTheWrongTime;นาฬิกานี้แสดงเวลาผิด
TheDollWasCollected;ตุ๊กตาได้รับการประกอบ!
TheDoorsMayBeOpen;ฉันควรจะเปิดประตูนี้!
ThereIsALot;มีสิ่งต่างๆมากมาย ...
ThereIsNothingHere;ทำความสะอาดฟันวันละสองครั้ง!
ThereIsSomethingHidden;หมอนดี)
ThereIsSomethingInTheTank;วาล์วที่น่าสนใจขึ้นในที่นั่น
TheseFigures;มาเล่นกันเถอะ!
ThisMouse;เมาส์ที่รักของฉันจะช่วยฉันได้
TiltThePhone;เอียงโทรศัพท์
WhatIsInHere;นั่นคืออะไร?
WhenMyBrother;เมื่อพี่ชายกลับมาจากโรงเรียนเขารู้สึกประหลาดใจ
Yahoo;ฉันอยู่นี่!
Yes;ใช่
